"filename", "language", "JavaScript", "HTML", "JSON", "Handlebars", "CSS", "comment", "blank", "total"
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\app.js", "JavaScript", 127, 0, 0, 0, 0, 5, 20, 152
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\controllers\CommentsController.js", "JavaScript", 43, 0, 0, 0, 0, 0, 6, 49
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\controllers\NotificationsController.js", "JavaScript", 116, 0, 0, 0, 0, 0, 4, 120
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\controllers\PostsController.js", "JavaScript", 107, 0, 0, 0, 0, 0, 7, 114
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\controllers\UsersController.js", "JavaScript", 165, 0, 0, 0, 0, 0, 6, 171
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\credentials.js", "JavaScript", 9, 0, 0, 0, 0, 3, 1, 13
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\db.js", "JavaScript", 17, 0, 0, 0, 0, 0, 3, 20
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\draft.html", "HTML", 0, 30, 0, 0, 0, 0, 1, 31
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\models\Comment.js", "JavaScript", 11, 0, 0, 0, 0, 0, 4, 15
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\models\Notification.js", "JavaScript", 13, 0, 0, 0, 0, 0, 4, 17
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\models\Post.js", "JavaScript", 13, 0, 0, 0, 0, 0, 4, 17
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\models\User.js", "JavaScript", 15, 0, 0, 0, 0, 0, 4, 19
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\package-lock.json", "JSON", 0, 0, 2709, 0, 0, 0, 1, 2710
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\package.json", "JSON", 0, 0, 26, 0, 0, 0, 1, 27
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\public\javascripts\main.js", "JavaScript", 912, 0, 0, 0, 0, 12, 33, 957
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\public\stylesheets\style.css", "CSS", 0, 0, 0, 0, 632, 2, 22, 656
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\routes\comments.js", "JavaScript", 13, 0, 0, 0, 0, 0, 4, 17
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\routes\index.js", "JavaScript", 71, 0, 0, 0, 0, 0, 7, 78
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\routes\notifications.js", "JavaScript", 55, 0, 0, 0, 0, 0, 6, 61
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\routes\posts.js", "JavaScript", 16, 0, 0, 0, 0, 0, 5, 21
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\routes\users.js", "JavaScript", 49, 0, 0, 0, 0, 0, 3, 52
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\test.html", "HTML", 0, 32, 0, 0, 0, 4, 5, 41
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\utils.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 3
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\views\admin.hbs", "Handlebars", 0, 0, 0, 165, 0, 0, 8, 173
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\views\createacc.hbs", "Handlebars", 0, 0, 0, 186, 0, 0, 0, 186
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\views\error.hbs", "Handlebars", 0, 0, 0, 3, 0, 0, 1, 4
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\views\faculty.hbs", "Handlebars", 0, 0, 0, 240, 0, 0, 15, 255
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\views\index.hbs", "Handlebars", 0, 0, 0, 245, 0, 0, 10, 255
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\views\layout.hbs", "Handlebars", 0, 0, 0, 32, 0, 0, 5, 37
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\views\listfaculty.hbs", "Handlebars", 0, 0, 0, 92, 0, 0, 0, 92
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\views\liststudent.hbs", "Handlebars", 0, 0, 0, 92, 0, 0, 0, 92
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\views\login.hbs", "Handlebars", 0, 0, 0, 16, 0, 0, 1, 17
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\views\notidetail.hbs", "Handlebars", 0, 0, 0, 111, 0, 0, 6, 117
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\views\notification.hbs", "Handlebars", 0, 0, 0, 166, 0, 0, 6, 172
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\views\profile.hbs", "Handlebars", 0, 0, 0, 209, 0, 0, 10, 219
"d:\Study\NAM4_KY1\WEBNC\CK\cuoiky\views\settings.hbs", "Handlebars", 0, 0, 0, 166, 0, 0, 5, 171
"Total", "-", 1755, 62, 2735, 1723, 632, 26, 218, 7151
